*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.1 Final Today
*Date=22:41:21
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
259;;THT;7.3962;-11.507;0;Bottom;J49
260;;;1.89295;-18.7742;0;Bottom;TXT11
261;0.3µF;200 mil [THT, multilayer];9.3012;-42.622;0;Bottom;C18
262;;THT;9.9362;-11.507;0;Bottom;J37
263;;THT;93.5022;-91.0489;0;Bottom;J3
264;;THT;4.8562;-31.827;0;Bottom;J64
265;1k;THT;49.9412;-71.832;90;Bottom;R50
266;;;92.6044;-27.395;-90;Bottom;TXT4
267;;THT;7.3962;-24.207;0;Bottom;J48
268;;THT;4.8562;-26.747;0;Bottom;J63
269;;DIP (Dual Inline) [THT];74.0712;-55.957;180;Bottom;IC1
270;;THT;12.4762;-26.747;0;Bottom;J27
271;;DIP (Dual Inline) [THT];74.0712;-40.717;180;Bottom;IC2
272;;THT;9.9362;-16.587;0;Bottom;J34
273;4.7nF;200 mil [THT, multilayer];32.7962;-35.002;0;Bottom;C23
